region,planting_code,planting_label,scenario,cultivar_id,maturity_class,family,stage,threshold_code,threshold_label,plot_label,threshold_order,n,event_cases,no_event_cases,event_probability_pct,mean_yield_event_kg_ha,mean_yield_no_event_kg_ha,fe_status,beta_event_minus_noevent_kg_ha,associated_penalty_kg_ha,associated_penalty_pct,se_cluster_site,ci95_low_penalty_kg_ha,ci95_high_penalty_kg_ha,p_value
Northcentral,A1,April 1,Irrigated,990003,SS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,4288.910618832237,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990003,SS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,4288.910618832237,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990003,SS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,4288.910618832237,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,19001,455,97.66138980263158,4285.988421662018,4410.942857142857,ESTIMABLE,-120.0048971258492,120.0048971258492,2.7206178137519816,17.261435262149284,86.1731056905669,153.8366885611315,3.59640890178761e-12
Northcentral,A1,April 1,Irrigated,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,8715,10741,44.79337993421053,4117.561904761905,4427.939018713341,ESTIMABLE,-48.35045164651539,48.35045164651539,1.0919403235269696,9.18671003599591,30.344830839550742,66.35607245348004,1.4165671459025033e-07
Northcentral,A1,April 1,Irrigated,990003,SS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,2803,16653,14.40686677631579,3903.9878701391367,4353.700054044316,ESTIMABLE,-84.32859348037556,84.32859348037556,1.9369408189257218,14.040751554163759,56.8092261183398,111.84796084241131,1.901695779931665e-09
Northcentral,A1,April 1,Irrigated,990004,VSS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,19456,0,19456,0.0,,2358.7732833059213,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990004,VSS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,19456,0,19456,0.0,,2358.7732833059213,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990004,VSS,Cold,late season before/on maturity,Cm4,Tmin ≤ −4°C,≤−4°C,2,19456,0,19456,0.0,,2358.7732833059213,LOW_EVENT_COUNT,,,,,,,
Northcentral,A1,April 1,Irrigated,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H30,Tmax ≥ 30°C,≥30°C,3,19456,13977,5479,71.83902138157895,2422.315375259355,2196.676583318124,ESTIMABLE,-96.71237767888103,96.71237767888103,4.402668031030542,5.1524827636594965,86.61369703114501,106.81105832661704,1.327514635958487e-78
Northcentral,A1,April 1,Irrigated,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H35,Tmax ≥ 35°C,≥35°C,4,19456,4651,14805,23.905222039473685,2654.9535583745433,2265.7280648429582,ESTIMABLE,130.78164800314812,-130.78164800314812,-5.7721687802023505,9.682425288853437,-149.7588528523007,-111.80444315399555,1.419738046868128e-41
Northcentral,A1,April 1,Irrigated,990004,VSS,Heat,flowering/silking proxy (ADAT ±7 d),H38,Tmax ≥ 38°C,≥38°C,5,19456,734,18722,3.7726151315789473,3068.801089918256,2330.936491827796,ESTIMABLE,-25.593052834027585,25.593052834027585,1.0979729788330217,18.14356185243661,-9.967674948022992,61.153780616078166,0.15836674653043678
Northeast,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,C0,Tmin ≤ 0°C,≤0°C,0,17746,0,17746,0.0,,4566.098162966302,LOW_EVENT_COUNT,,,,,,,
Northeast,A1,April 1,Rainfed,990001,LS,Cold,late season before/on maturity,Cm2p2,Tmin ≤ −2.2°C,≤−2.2°C,1,17746,0,17746,0.0,,4566.098162966302,LOW_EVENT_COUNT,,,,,,,
